mmsi;signalpower;ppm;received_at;station_id;msg_id;imo ( International Maritime Organization number);callsign;shipname;shiptype (https://api.vtexplorer.com/docs/ref-aistypes.html) faire table;to_port;to_bow;to_stern;to_starboard;eta (estimation destination);draught (The depth of water a ship needs to float.);destination;status;turn;speed;lat;lon;course;heading;aid_type;alt;count (nombre personne);msg_types;channels
352003022;-11.372203;-1.736111;21/04/2024 04:14;0;NULL;9977995;3E4759;GAS BLOSSOM;80;4;80;20;14;04-20T08:00Z;5.4;NCNOU;1;0;0;-22.236774;166.38821;308.1;112;NULL;NULL;152;42;3
353213000;-2.129575;-2.314815;04/09/2024 08:57;0;NULL;9788796;H9MI;AMBORELLA;70;7;132;29;19;09-04T20:00Z;6.2;NEPOUI_NC;1;0;0.1;-22.259754;166.41951;177.40001;162;NULL;NULL;2914;16777258;3
354905000;-1.699119;-2.314815;18/06/2024 01:14;0;NULL;9424637;3EOC7;VALENTE VENUS;70;9;134;27;17;06-11T22:00Z;7.4;NC NOUM;1;0;0;-22.237682;166.39322;345.5;275;NULL;NULL;365;40;3
354950000;-8.506998;1.157407;03/04/2024 04:10;0;NULL;9470791;3FID3;AC SESODA;70;19;146;23;9;03-21T20:00Z;8.6;NC  NOU;5;0;0;-22.245897;166.41385;179.40001;182;NULL;NULL;407;40;3
367761520;-9.019627;-7.233796;03/09/2024 01:56;0;NULL;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;16777216;3
368295270;-13.07583;0.289352;13/06/2024 07:30;0;NULL;NULL;WDN6031;IRIA;36;4;9;3;4;NULL;NULL;NULL;NULL;NULL;0.1;-22.276505;166.43904;157.90001;511;NULL;NULL;42;17039360;3
370437000;-0.03988;-2.025463;18/06/2024 01:15;0;NULL;9307267;3FWI6;MSC CORINNA;70;8;166;44;22;06-18T03:00Z;8.3;NCNOU;5;0;0;-22.264668;166.43526;73;104;NULL;NULL;231;42;3
372543000;-2.209887;-2.604167;18/06/2024 01:16;0;NULL;9333101;3EJJ9;DONIAMBO;70;11;133;28;15;05-01T21:15Z;7.4;NOUMEA ANCHOR;1;0;0.1;-22.242296;166.39851;359.4;280;NULL;NULL;418;16777256;3
372808000;-18.342354;0;01/05/2024 08:10;0;NULL;9333163;3EUS;CARNIVAL SPLENDOR;60;22;35;256;22;05-01T20:30Z;8.5;NC NOU - NC LIF;0;0;16.800001;-22.365644;166.56493;107.1;107;NULL;NULL;993;42;3
373860000;-1.139699;-2.893518;01/09/2024 06:44;0;NULL;9646417;3FLB4;JULES GARNIER II;70;17;137;24;9;09-02T08:30Z;6.2;NOUMEA;1;0;0.2;-22.259834;166.41301;94.8;120;NULL;NULL;3463;16777258;3
