"mmsi","signalpower","ppm","received_at","station_id","msg_id","imo","callsign","shipname","shiptype","to_port","to_bow","to_stern","to_starboard","eta","draught","destination","status","turn","speed","lat","lon","course","heading","aid_type","alt","count","msg_types","channels"
"311000890","0","0","2024-10-04 03:36:26","0",1,NULL,NULL,"ELANORA             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86001666666667","151.19783333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"228406800","0","0","2024-10-04 03:36:27","0",3,NULL,NULL,"FREYCINET           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.973038333333335","151.21094499999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503702700","0","0","2024-10-04 03:36:29","0",3,NULL,NULL,"WAREE               ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85566","151.18920833333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503012800","0","0","2024-10-04 03:36:29","0",1,NULL,NULL,"OSCAR 2             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.870176666666666","151.1872",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503114780","0","0","2024-10-04 03:36:29","0",3,NULL,NULL,"OCEANA              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86959","151.18018833333332",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503100460","0","0","2024-10-04 03:36:34","0",1,NULL,NULL,"ESME TIMBERY        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86524333333333","151.2008933333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503344900","0","0","2024-10-04 03:36:36","0",1,NULL,NULL,"ALEXANDER           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86058333333333","151.21061666666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503016950","0","0","2024-10-04 03:36:36","0",1,NULL,NULL,"PV SINCLAIR         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.96846333333333","151.22049333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503376200","0","0","2024-10-04 03:36:37","0",1,NULL,NULL,"DAWN FRASER         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85516666666667","151.18763333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503067480","0","0","2024-10-04 03:36:42","0",3,NULL,NULL,"CRYSTAL LADY        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86966333333333","151.18156666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503000000","0","0","2024-10-04 03:36:47","0",3,NULL,NULL,"TEST                ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.767395","151.27317166666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"229955000","0","0","2024-10-04 03:36:57","0",3,NULL,NULL,"CMA CGM SEATTLE     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.96942166666666","151.21033166666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"477811100","0","0","2024-10-04 03:37:01","0",3,NULL,NULL,"OOCL ITALY          ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.96345","151.19978333333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"248000135","0","0","2024-10-04 03:37:07","0",3,NULL,NULL,"FRIVOLOUS           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.869895","151.18003166666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503858116","0","0","2024-10-04 03:37:19","0",3,NULL,NULL,"SVITZER WARANG      ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.9677","151.22011666666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503352000","0","0","2024-10-04 03:37:33","0",3,NULL,NULL,"BULLARA             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85639","151.18862333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503621600","0","0","2024-10-04 03:37:33","0",1,NULL,NULL,"RIVERSIDE AVALON    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.90994333333334","151.28666333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503603000","0","0","2024-10-04 03:37:43","0",3,NULL,NULL,"FRESHWATER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.8252","151.27546333333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503042780","0","0","2024-10-04 03:37:49","0",3,NULL,NULL,"GHOST II            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.848213333333334","151.24121166666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"319106500","0","0","2024-10-04 03:37:55","0",3,NULL,NULL,"BOMBALA             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.867918333333336","151.25589833333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
